Name,Strasse,Strasse_no_space,PlZ,Ort,Tel,E-Mail,Webseite
Dind Ruth,Bielstrasse 80A,Bielstrasse80A,2555,Brügg BE,* 032 372 11 14,,
Doan Van Ut,Hauptstrasse 10,Hauptstrasse10,2555,Brügg BE,032 372 75 23,,
Donzé Jean-Pascal,Wasserstrasse 1A,Wasserstrasse1A,2555,Brügg BE,* 079 740 82 21,,
Droz Elisabeth,Schulstrasse 3B,Schulstrasse3B,2555,Brügg BE,* 032 373 73 08,,
Duarte José (-Walser),Aarestrasse 12,Aarestrasse12,2555,Brügg BE,* 032 373 64 26,,
Dubois Christian et Edith,Rosenweg 21,Rosenweg21,2555,Brügg BE,* 032 373 12 81,,
Dubois Michel,Haldenstrasse 28,Haldenstrasse28,2555,Brügg BE,* 032 365 10 08,,
Dubois du Nilac Cecile,Brachmattstrasse 2,Brachmattstrasse2,2555,Brügg BE,* 032 373 31 76,,
Eberhard Eugen,Industriestrasse 3,Industriestrasse3,2555,Brügg BE,* 032 373 59 56,,
Egger Markus,Bielstrasse 30,Bielstrasse30,2555,Brügg BE,032 373 32 66,,
Elghoudi Lamia,Erlenstrasse 1,Erlenstrasse1,2555,Brügg BE,* 032 372 71 15,,
Elmer Sonja,Kreuzgasse 21,Kreuzgasse21,2555,Brügg BE,* 032 322 46 58,pierre.elmer@bluewin.ch,
Eng Arno und Monika (-Affolter),Obergasse 13,Obergasse13,2555,Brügg BE,* 032 373 70 10,,
Enzi Brigitte,Orpundstrasse 7,Orpundstrasse7,2555,Brügg BE,032 373 29 37,,
Enzler Anita,Bielstrasse 35,Bielstrasse35,2555,Brügg BE,032 322 03 43,,
Ernstreiter Liselotte,Kreuzgasse 23,Kreuzgasse23,2555,Brügg BE,* 032 373 38 36,,
Etter Dora (-Schwyn),Hauptstrasse 8,Hauptstrasse8,2555,Brügg BE,* 032 373 37 74,,
Fähndrich Yolanda (-Hassler),Haldenstrasse 12,Haldenstrasse12,2555,Brügg BE,* 032 373 22 68,,
Fankhauser Rudolf (-Rihs),Hauptstrasse 10,Hauptstrasse10,2555,Brügg BE,* 032 365 95 62,,
Farine Therese (-Schüpbach),Industriestrasse 4A,Industriestrasse4A,2555,Brügg BE,032 373 48 18,,
Fauconnier Cédric,Guinandstrasse 10,Guinandstrasse10,2555,Brügg BE,* 032 322 53 32,,
Fauser Kurt und Anna (-Hurni),Klosterstrasse 13,Klosterstrasse13,2555,Brügg BE,* 031 879 19 17,,
Favrod Josef Markus,Tulpenweg 3,Tulpenweg3,2555,Brügg BE,* 032 373 25 10,,
Favrod Stauffer Therese,Eschenweg 4a,Eschenweg4a,2555,Brügg BE,* 032 373 41 30,favrod.therese@bluewin.ch,
Ferrara Sandro und Chantal (-Gerne),Guinandstrasse 20,Guinandstrasse20,2555,Brügg BE,* 032 373 52 33,,
Fieguth Jacot Margarete,Hofmatt 7,Hofmatt7,2555,Brügg BE,* 032 373 25 22,,
Fischer Bernhard und Susy,Orpundstrasse 28,Orpundstrasse28,2555,Brügg BE,* 032 373 21 35,,
Fischer Doris,Bielstrasse 38,Bielstrasse38,2555,Brügg BE,* 032 351 43 55,,
Fischer Ingrid (-Sander),Schulstrasse 3B,Schulstrasse3B,2555,Brügg BE,* 032 373 45 35,,
Fischer Madeleine,Aarestrasse 11,Aarestrasse11,2555,Brügg BE,* 032 373 43 18,,
Dr. med. dent. Fischer Rolf,Orpundstrasse 28,Orpundstrasse28,2555,Brügg BE,032 373 72 77,,
Fischer Verena,Dahlienweg 2,Dahlienweg2,2555,Brügg BE,* 032 372 18 80,,
Fivaz Arthur,Neubrückstrasse 22,Neubrückstrasse22,2555,Brügg BE,* 032 373 65 38,,
Flückiger Hans und Myriam,Rainpark 14,Rainpark14,2555,Brügg BE,* 032 373 31 44,,
Flückiger Liliane,Bielstrasse 3,Bielstrasse3,2555,Brügg BE,* 032 373 39 44,,
Fluri Moritz und Ruth,Hauptstrasse 10,Hauptstrasse10,2555,Brügg BE,* 032 331 93 32,,
"Flury Pia, Stefan, Nicola und Lisa",Orpundstrasse 21a,Orpundstrasse21a,2555,Brügg BE,* 032 373 35 73,,
Flury Stefan,Prateiweg 1,Prateiweg1,2555,Brügg BE,032 355 16 45,,
Fontana Isidor (-Wisler),Brachmattstrasse 3,Brachmattstrasse3,2555,Brügg BE,* 032 373 72 35,,
Frantzen Ewald,Industriestrasse 4,Industriestrasse4,2555,Brügg BE,* 076 546 83 09,frantzenewald@hotmail.com,
Frei Hanspeter,Dahlienweg 1,Dahlienweg1,2555,Brügg BE,032 373 34 83,,
Freiburghaus Theo und Esther (-Wyler),Dahlienweg 3,Dahlienweg3,2555,Brügg BE,* 032 373 15 08,,
Freudiger Markus,Brachmattstrasse 19,Brachmattstrasse19,2555,Brügg BE,* 032 373 60 33,,
Frey Walter,Neubrückstrasse 21,Neubrückstrasse21,2555,Brügg BE,* 032 373 15 57,,
Friedli Eugen und Bernadette (-Bucher),Burgersriedstrasse 11,Burgersriedstrasse11,2555,Brügg BE,* 032 341 02 59,,
Fuchs Verena und Hugo,Rebhalde 7,Rebhalde7,2555,Brügg BE,* 032 373 11 74,,
Fuhrimann Heidi,Brachmattstrasse 23,Brachmattstrasse23,2555,Brügg BE,032 373 30 89,,
Fülöp Tamas,Brachmattstrasse 15,Brachmattstrasse15,2555,Brügg BE,* 032 373 53 19,,
Gabi Hanspeter (-Schönmann),Obergasse 11,Obergasse11,2555,Brügg BE,032 373 32 70,,
Gächter Manuela und Christophe (-Schwab),Orpundstrasse 26,Orpundstrasse26,2555,Brügg BE,* 032 373 17 04,,
Galati Salvatore,Burgersriedstrasse 4,Burgersriedstrasse4,2555,Brügg BE,032 372 71 81,,
Ganaj Avdija,Erlenstrasse 2,Erlenstrasse2,2555,Brügg BE,* 078 711 14 03,,
Gander Ruth,Rosenweg 10,Rosenweg10,2555,Brügg BE,* 032 372 71 78,,
Garcia Olivier,Guinandstrasse 16,Guinandstrasse16,2555,Brügg BE,* 032 372 71 67,,
Gasperi Mara,Erlenstrasse 5,Erlenstrasse5,2555,Brügg BE,032 373 27 16,,
"Gass Christian, Sandra und Lia",Obergasse 21,Obergasse21,2555,Brügg BE,032 373 62 22,,
Gasser Eric (-Moser),Klosterstrasse 15,Klosterstrasse15,2555,Brügg BE,* 032 373 14 12,,
Gasser Franz,Bielstrasse 44,Bielstrasse44,2555,Brügg BE,* 032 351 13 05,,
Gehri Kurt u. Irene,Friedhofweg 17,Friedhofweg17,2555,Brügg BE,* 032 373 46 20,,
Geiser Erwin et Therese,Poststrasse 5,Poststrasse5,2555,Brügg BE,* 032 373 54 39,,
Geiser Werner,Obergasse 15,Obergasse15,2555,Brügg BE,032 372 15 46,,
Geissbühler Walter,Aarestrasse 11,Aarestrasse11,2555,Brügg BE,* 032 322 04 50,,
Gerber Martha,Bielstrasse 80A,Bielstrasse80A,2555,Brügg BE,* 032 322 06 17,,
"Gerber Mélanie, Noah und Joshua",Gartenweg 3,Gartenweg3,2555,Brügg BE,* 032 372 74 20,,
Gerber Ruedi und Claudine,Bielstrasse 80,Bielstrasse80,2555,Brügg BE,* 031 842 01 17,,
Gerber Simon,Erlenstrasse 5,Erlenstrasse5,2555,Brügg BE,032 372 20 16,,
Gerber Tobias,Obergasse 16D,Obergasse16D,2555,Brügg BE,076 528 75 48,,
Gfeller Reto,Friedhofweg 11,Friedhofweg11,2555,Brügg BE,032 372 20 68,gfeller@gmx.ch,
Gherbezza Marco und Stefanie (-Beck),Rebhalde 22,Rebhalde22,2555,Brügg BE,* 032 373 22 09,,
Gigandet Jean-Pierre,Mettgasse 6,Mettgasse6,2555,Brügg BE,* 032 373 57 42,,
Gil Arrieche Daniel José,Römerstrasse 3,Römerstrasse3,2555,Brügg BE,032 525 90 34,,
Gilgen Alfred,Friedhofweg 2,Friedhofweg2,2555,Brügg BE,* 079 224 08 72,,
Gilomen Kurt,Friedhofweg 49,Friedhofweg49,2555,Brügg BE,032 373 40 56,,
Gisin Susanne,Mettgasse 7,Mettgasse7,2555,Brügg BE,032 373 42 78,,
Glaus Eduard,Hauptstrasse 10,Hauptstrasse10,2555,Brügg BE,* 032 373 44 64,,
Glaus Silvia,Kreuzgasse 5,Kreuzgasse5,2555,Brügg BE,* 032 322 78 21,,
Gnanendran Vathsalathevi,Römerstrasse 3,Römerstrasse3,2555,Brügg BE,032 373 16 11,,
Godel Gisèle,Hauptstrasse 10,Hauptstrasse10,2555,Brügg BE,032 373 55 74,,
Gomez Marianne (-Vassaux),Rosenweg 21,Rosenweg21,2555,Brügg BE,032 373 67 70,,
Gómez Navarro Lidia,Guinandstrasse 6,Guinandstrasse6,2555,Brügg BE,* 032 384 47 44,,
Gotzmann Erika und Richard,Ahornweg 7,Ahornweg7,2555,Brügg BE,* 032 373 42 66,,
Graber Elisabetta (-Socha),Burgersriedstrasse 20,Burgersriedstrasse20,2555,Brügg BE,032 372 71 80,,
Graber Elzbieta Agnieszka,Burgersriedstrasse 20,Burgersriedstrasse20,2555,Brügg BE,032 372 77 67,,
Graber Ernst und Erika (-Imhof),Schulstrasse 3A,Schulstrasse3A,2555,Brügg BE,* 032 373 43 51,,
Grädel Hanspeter (-Bartl),Kreuzgasse 21,Kreuzgasse21,2555,Brügg BE,* 032 373 72 53,,
Graf Martin und Barbara (-Schüpbach),Orpundstrasse 30A,Orpundstrasse30A,2555,Brügg BE,* 032 373 20 85,,
Grau Roger u. Rosmarie,Mattenstrasse 18,Mattenstrasse18,2555,Brügg BE,* 032 373 62 94,,
Gregori Marie (-Jamar),Erlenstrasse 1,Erlenstrasse1,2555,Brügg BE,032 372 10 43,,
Grindat Daniel,Bielstrasse 62,Bielstrasse62,2555,Brügg BE,032 372 73 64,,
Grossenbacher Otto (-Mühlheim),Gottstattstrasse 10,Gottstattstrasse10,2555,Brügg BE,032 373 16 03,,
Grossenbacher Sandra,Rainpark 12,Rainpark12,2555,Brügg BE,* 032 373 55 43,,
Grossenbacher Werner u. Caterina,Aarestrasse 11,Aarestrasse11,2555,Brügg BE,032 373 44 30,,
Grunder Cédric und Marina,Brachmattstrasse 23,Brachmattstrasse23,2555,Brügg BE,* 079 897 92 22,c_grunder@hotmail.com,
Grütter Erwin,Haldenstrasse 21,Haldenstrasse21,2555,Brügg BE,* 079 689 42 41,,
Grütter Ulrich (-Zbinden),Haldenstrasse 26,Haldenstrasse26,2555,Brügg BE,032 373 51 32,,
Gsteiger Marthe,Bielstrasse 78C,Bielstrasse78C,2555,Brügg BE,032 373 51 09,,
Gsteiger Nicole Claudia,Brachmattstrasse 25,Brachmattstrasse25,2555,Brügg BE,* 032 372 78 05,,
Guenat Jacques,Aarestrasse 10,Aarestrasse10,2555,Brügg BE,* 032 373 32 76,,
Guillod Francois,Erlenstrasse 5,Erlenstrasse5,2555,Brügg BE,* 032 373 31 60,,
Gujer Henry (-Kunz),Burgersriedstrasse 17,Burgersriedstrasse17,2555,Brügg BE,032 373 22 15,,
Gurtner Andreas und Elisabeth (-Aebersold),Ahornweg 10,Ahornweg10,2555,Brügg BE,* 032 373 34 10,,
Gut Rudolf (-Bürgi),Friedhofweg 1,Friedhofweg1,2555,Brügg BE,* 032 365 08 41,,
Gutjahr Kurt,Bielstrasse 46,Bielstrasse46,2555,Brügg BE,* 032 373 44 94,,
Gutmann David,Gottstattstrasse 6,Gottstattstrasse6,2555,Brügg BE,032 323 65 79,,
Gygli Peter,Brachmattstrasse 13,Brachmattstrasse13,2555,Brügg BE,* 032 373 15 21,,
Habegger Philippe,Guinandstrasse 16,Guinandstrasse16,2555,Brügg BE,* 032 372 19 16,,
Häberlin Margrit,Schulstrasse 3b,Schulstrasse3b,2555,Brügg BE,* 032 373 39 68,,
Habte Asmeret,Erlenstrasse 4,Erlenstrasse4,2555,Brügg BE,032 341 05 85,,
Hafen Fredy,Rebhalde 5,Rebhalde5,2555,Brügg BE,* 032 373 54 82,,
Häfliger Frida (-Stocker),Bielstrasse 30,Bielstrasse30,2555,Brügg BE,* 032 373 32 69,,
Haibl Martin,Aarestrasse 2,Aarestrasse2,2555,Brügg BE,* 032 373 54 76,,
Hajjej Malek,Erlenstrasse 1,Erlenstrasse1,2555,Brügg BE,* 078 797 74 78,hajjejmalek@hotmail.com,
Haldemann Kim,Pfeidstrasse 20,Pfeidstrasse20,2555,Brügg BE,032 372 70 74,,
Haldi Rudolf,Eschenweg 11,Eschenweg11,2555,Brügg BE,* 032 373 27 88,,
Häni René,Bielstrasse 4,Bielstrasse4,2555,Brügg BE,* 078 711 58 74,,
Hänni Kurt und Ursula,Orpundstrasse 15a,Orpundstrasse15a,2555,Brügg BE,* 032 355 20 71,,
Hanspeter Hofer,Obergasse 16B,Obergasse16B,2555,Brügg BE,* 077 439 76 79,,
Hanzal Peter und Vanessa (-Schärer),Haldenstrasse 25,Haldenstrasse25,2555,Brügg BE,* 032 373 50 40,,
Hartmann Hansruedi u. Helena (-Blaser),Brachmattstrasse 11b,Brachmattstrasse11b,2555,Brügg BE,* 032 372 17 30,,
Hässig Werner (-Näpfli),Kanalweg 30,Kanalweg30,2555,Brügg BE,032 372 73 15,,
Haueter Elisabeth,Rebhalde 17,Rebhalde17,2555,Brügg BE,032 373 36 03,,
Haueter Marianne,Rebhalde 17,Rebhalde17,2555,Brügg BE,032 373 22 88,,
Hauser David und Gerda (-Pfister),Hofmatt 2,Hofmatt2,2555,Brügg BE,* 032 373 70 78,,
Hautle Andreas,Brachmattstrasse 27,Brachmattstrasse27,2555,Brügg BE,* 032 373 49 47,,
Hautle Hilda,Hauptstrasse 6,Hauptstrasse6,2555,Brügg BE,* 032 373 49 59,,
"Hegglin Max, Monica, Stefan und Michael (-Desax)",Burgersriedstrasse 14,Burgersriedstrasse14,2555,Brügg BE,* 032 355 11 53,,
Heiniger Martin,Guinandstrasse 12,Guinandstrasse12,2555,Brügg BE,* 032 365 02 81,,
Heiniger Roland (-Schmidt),Rebhalde 3,Rebhalde3,2555,Brügg BE,* 032 373 50 37,,
Heiniger Ruth Margaretha,Hauptstrasse 8,Hauptstrasse8,2555,Brügg BE,032 373 16 41,,
Heinimann Sibylle,Obergasse 7,Obergasse7,2555,Brügg BE,032 373 48 28,,
Helbling Rolf u. Evi (-v.d. Heyden),Eschenweg 1,Eschenweg1,2555,Brügg BE,032 373 35 80,,
Hemund Reinhard und Cécile (-Rauber),Neubrückstrasse 18,Neubrückstrasse18,2555,Brügg BE,* 032 373 63 93,,
Hermann Peter,Haldenstrasse 33,Haldenstrasse33,2555,Brügg BE,081 733 33 65,,
Hermle Sonja und Matthias,Gottstattstrasse 8,Gottstattstrasse8,2555,Brügg BE,* 032 331 38 07,,
Herrmann Alfred und Anita (-Häfeli),Neubrückstrasse 24,Neubrückstrasse24,2555,Brügg BE,* 032 331 28 23,,
Herrmann Anita (-Häfeli),Neubrückstrasse 24,Neubrückstrasse24,2555,Brügg BE,032 372 10 37,,
Heuer André,Bielstrasse 80a,Bielstrasse80a,2555,Brügg BE,032 373 46 08,,
Heuer Oswald,Brachmattstrasse 23,Brachmattstrasse23,2555,Brügg BE,032 373 68 06,,
Heuer Reinhard,Friedhofweg 27,Friedhofweg27,2555,Brügg BE,032 373 28 44,,
Heuer Renate,Pfeidstrasse 21,Pfeidstrasse21,2555,Brügg BE,* 032 372 71 85,,
Hirs Thomas,Mattenstrasse 10,Mattenstrasse10,2555,Brügg BE,* 032 372 71 13,,
Hirt Berteline,Bielstrasse 52,Bielstrasse52,2555,Brügg BE,* 032 372 14 78,,
Hirter Hildegard (-Ruesch),Erlenstrasse 1,Erlenstrasse1,2555,Brügg BE,032 373 27 38,,
Hochstrasser Esther,Klosterstrasse 13,Klosterstrasse13,2555,Brügg BE,032 373 41 79,,
Hofer Bertha (-Rumo),Römerstrasse 3,Römerstrasse3,2555,Brügg BE,* 032 373 38 68,,
Hofer Rosmarie,Neubrückstrasse 25,Neubrückstrasse25,2555,Brügg BE,* 032 373 64 24,,
Hoffer Madeleine,Bielstrasse 80a,Bielstrasse80a,2555,Brügg BE,* 032 373 52 74,,
Hoffmann Andreas,Klosterstrasse 2,Klosterstrasse2,2555,Brügg BE,* 032 505 23 52,,
Hoffmann Heinz und Monique (-Pittier),Haldenstrasse 17,Haldenstrasse17,2555,Brügg BE,* 032 373 48 76,,
Hofmann Heike,Hofmatt 10,Hofmatt10,2555,Brügg BE,* 079 381 39 85,,
Hofstetter Patrick,Haldenstrasse 27,Haldenstrasse27,2555,Brügg BE,* 079 504 70 09,,
Hooper Sean und Barbara (-Simonfi),Orpundstrasse 21D,Orpundstrasse21D,2555,Brügg BE,* 032 505 24 32,,
Hossmann Roger und Heidi,Brachmattstrasse 23,Brachmattstrasse23,2555,Brügg BE,* 032 373 14 18,,
Hostettler Eugen,Aarestrasse 15,Aarestrasse15,2555,Brügg BE,* 031 862 19 76,,
Houlmann Claude und Anne-Marie (-von Allmen),Pfeidstrasse 3,Pfeidstrasse3,2555,Brügg BE,* 032 365 90 54,,
Houmard Arthur,Brachmattstrasse 11b,Brachmattstrasse11b,2555,Brügg BE,* 032 373 13 66,,
Houmard Verena (-Bechtold),Guinandstrasse 10,Guinandstrasse10,2555,Brügg BE,032 373 28 58,,
Howald Ruedi,Orpundstrasse 28,Orpundstrasse28,2555,Brügg BE,* 032 373 30 73,,
Hubacher Erwin u. Oliva (-Casanova),Orpundstrasse 10,Orpundstrasse10,2555,Brügg BE,* 032 373 12 49,,
Huber Otto und Marianne (-Schafroth),Bielstrasse 52,Bielstrasse52,2555,Brügg BE,* 032 372 19 39,,
Huber Werner u. Dora (-Salcher),Tulpenweg 2,Tulpenweg2,2555,Brügg BE,* 032 373 57 81,,
Hug Max A. und Annemarie,Erlenstrasse 1,Erlenstrasse1,2555,Brügg BE,* 032 373 17 33,,
Hugi André-Michel,Hauptstrasse 24,Hauptstrasse24,2555,Brügg BE,* 079 617 73 01,,
Huguenin Gilbert u. Rose-Marie (-Weber),Burgersriedstrasse 6A,Burgersriedstrasse6A,2555,Brügg BE,* 032 373 33 62,,
Hürlimann Peuss,Hofmatt 10,Hofmatt10,2555,Brügg BE,* 079 389 67 50,,
Hürlimann Ruth,Aarestrasse 13,Aarestrasse13,2555,Brügg BE,* 032 372 13 49,,
Hurni Claudio,Guinandstrasse 14,Guinandstrasse14,2555,Brügg BE,032 721 00 01,,
Hurni Marianne,Brachmattstrasse 2,Brachmattstrasse2,2555,Brügg BE,* 032 373 14 47,,
Huter Marc,Guinandstrasse 10,Guinandstrasse10,2555,Brügg BE,* 032 365 73 12,,
Huwiler Marc,Orpundstrasse 30a,Orpundstrasse30a,2555,Brügg BE,* 032 322 13 44,,
Ilic Nikola,Industriestrasse 6,Industriestrasse6,2555,Brügg BE,032 373 65 82,,
Ingold Dorli (-Wüthrich),Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,032 373 19 56,,
Ingold Stefan u. Elisabeth (-Steiner),Rosenweg 21,Rosenweg21,2555,Brügg BE,032 373 32 85,,
Iseli Thomas und Sander Dagmar,Rainstrasse 10,Rainstrasse10,2555,Brügg BE,* 032 331 65 22,,
Isler Konrad,Burgersriedstrasse 31,Burgersriedstrasse31,2555,Brügg BE,* 032 373 37 68,,
Ismail Salim (-Strahm),Aarestrasse 7,Aarestrasse7,2555,Brügg BE,* 032 373 63 18,,
Jäckli Walter und Therese (-Bichsel),Bielstrasse 34,Bielstrasse34,2555,Brügg BE,* 032 365 83 81,,
Jacot Henri,Hofmatt 7,Hofmatt7,2555,Brügg BE,* 032 373 25 22,,
Jacot Turtschi Ursula,Erlenstrasse 4,Erlenstrasse4,2555,Brügg BE,* 032 373 34 01,,
Jäggi Andreas und Manuela (-Wyss),Pfeideck 18,Pfeideck18,2555,Brügg BE,* 079 669 82 01,,
Jäggi Hans-Ulrich,Brachmattstrasse 10,Brachmattstrasse10,2555,Brügg BE,* 032 373 32 88,,
Jäggi Savur Priska,Römerstrasse 1,Römerstrasse1,2555,Brügg BE,* 032 372 14 94,,
Jahic Andelka (-Rasic),Bielstrasse 78C,Bielstrasse78C,2555,Brügg BE,* 032 313 42 81,,
Jaidane Susanne,Aarestrasse 13,Aarestrasse13,2555,Brügg BE,032 372 19 20,,
Jakob Peter und Verena (-Mauerhofer),Aarestrasse 15,Aarestrasse15,2555,Brügg BE,* 032 373 26 63,,
Jakob Remy und Rosemarie (-Suri),Waldeckstrasse 14,Waldeckstrasse14,2555,Brügg BE,032 373 42 87,,
Jaussi Karl u. Rosa (-Roder),Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,034 445 44 68,,
Jegge Martin,Bahnhofstrasse 1,Bahnhofstrasse1,2555,Brügg BE,* 032 373 57 62,,
Jenni Gilbert und Manuela,Bielstrasse 36,Bielstrasse36,2555,Brügg BE,* 032 385 12 40,,
Jenni Jürg (-Bühler),Rosenweg 15,Rosenweg15,2555,Brügg BE,032 373 20 72,,
Jenni Margrith,Aarestrasse 11,Aarestrasse11,2555,Brügg BE,032 372 13 04,,
Jermann Cornelia,Chaletweg 5a,Chaletweg5a,2555,Brügg BE,* 079 697 14 60,,
Joss Manuela und Kurt (-Kohler),Rainpark 16,Rainpark16,2555,Brügg BE,* 032 373 19 20,,
Jost Annemarie,Aarestrasse 13,Aarestrasse13,2555,Brügg BE,032 373 31 67,,
Jost Werner,Sonnhalde 9,Sonnhalde9,2555,Brügg BE,034 411 21 43,,
Jud Werner (-Ryf),Neubrückstrasse 20,Neubrückstrasse20,2555,Brügg BE,032 342 40 92,,
Jutzi Susanne und Stefan (-Portmann),Pfeidstrasse 14,Pfeidstrasse14,2555,Brügg BE,* 032 373 65 66,,
Jutzi Werner u. Ursula (-Mathys),Pfeidstrasse 14,Pfeidstrasse14,2555,Brügg BE,* 032 373 40 18,,
Kaczmarek Zdzislaw,Erlenstrasse 5,Erlenstrasse5,2555,Brügg BE,032 373 59 75,,
Kaeser André,Aarestrasse 11,Aarestrasse11,2555,Brügg BE,032 373 63 51,,
Kaeser Thomas,Neubrückstrasse 40,Neubrückstrasse40,2555,Brügg BE,* 078 608 75 62,,
Kaeslin Christoph und Jacqueline (-Stöckli),Kanalweg 4,Kanalweg4,2555,Brügg BE,* 032 373 57 48,,
Kaller Stefan,Friedhofweg 3,Friedhofweg3,2555,Brügg BE,* 032 372 19 48,,
Kamm Martha (-Disch),Aarestrasse 15,Aarestrasse15,2555,Brügg BE,032 373 67 02,,
Kammermann Daniel,Burgersriedstrasse 11,Burgersriedstrasse11,2555,Brügg BE,* 078 697 64 11,,
Kanagasabai Sivarajah,Chaletweg 6A,Chaletweg6A,2555,Brügg BE,032 373 64 43,,
Kanapathipillai Parameswary,Erlenstrasse 2,Erlenstrasse2,2555,Brügg BE,032 373 15 78,,
Känel François,Bielstrasse 58,Bielstrasse58,2555,Brügg BE,032 373 33 45,,
Känel Katrin (-Roth),Brachmattstrasse 10,Brachmattstrasse10,2555,Brügg BE,032 372 72 15,,
Känel Markus und Känel Markus,Rebhalde 10,Rebhalde10,2555,Brügg BE,* 032 530 60 75,,
Känzig Hans-Ulrich und Verena (-Frautschi),Schulstrasse 3A,Schulstrasse3A,2555,Brügg BE,* 032 331 94 74,,
Käppeli Therese,Orpundstrasse 12,Orpundstrasse12,2555,Brügg BE,* 032 373 14 22,,
Käser Beda,Kreuzgasse 8,Kreuzgasse8,2555,Brügg BE,* 032 373 30 68,,
Kasper Anni,Rainstrasse 9,Rainstrasse9,2555,Brügg BE,* 032 373 24 09,,
Kasumaj Flora,Orpundstrasse 13A,Orpundstrasse13A,2555,Brügg BE,* 079 778 05 02,f.kasumaj@hotmail.com,
Kasumaj Mentor,Orpundstrasse 13A,Orpundstrasse13A,2555,Brügg BE,* 032 342 16 51,,
Kaufmann Béatrice (-Favre),Hauptstrasse 12A,Hauptstrasse12A,2555,Brügg BE,* 032 372 20 57,,
Kaufmann Kurt und Ursula (-Treuthardt),Sandacker 8,Sandacker8,2555,Brügg BE,* 032 373 34 23,,
Kaufmann Ueli (-Reber),Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,* 032 373 27 60,,
Keller Andrea,Römerstrasse 1,Römerstrasse1,2555,Brügg BE,* 032 372 11 84,,
Keller Eric,Rainstrasse 5,Rainstrasse5,2555,Brügg BE,032 373 40 84,,
Keller Gilbert und Franziska,Rainstrasse 19,Rainstrasse19,2555,Brügg BE,032 373 11 29,,
Keller Mariette,Römerstrasse 3,Römerstrasse3,2555,Brügg BE,032 373 11 82,,
Kempf Alfred (-Bartlome),Erlenstrasse 2,Erlenstrasse2,2555,Brügg BE,032 373 42 57,,
Kilchhofer Fritz,Brachmattstrasse 6,Brachmattstrasse6,2555,Brügg BE,032 373 12 52,,
Kipfer Brigitte u. Martin (-Jenni),Sandacker 6,Sandacker6,2555,Brügg BE,* 032 373 43 59,,
Kipfer Hans,Dahlienweg 2,Dahlienweg2,2555,Brügg BE,* 032 372 21 27,,
Knuchel Brigitte (-Steiner),Klosterstrasse 11,Klosterstrasse11,2555,Brügg BE,032 675 40 34,,
Kocher Ernst,Rosenweg 21,Rosenweg21,2555,Brügg BE,* 032 342 30 58,,
Kohli Anita und Marcel,Erlenstrasse 5,Erlenstrasse5,2555,Brügg BE,* 032 665 22 48,,
Köhli Silvia,Neubrückstrasse 22,Neubrückstrasse22,2555,Brügg BE,* 032 373 46 82,,
Koos Joern,Mattenstrasse 16,Mattenstrasse16,2555,Brügg BE,* 078 663 57 19,,
Kopcic Ivica (-Jelec),Schulstrasse 3A,Schulstrasse3A,2555,Brügg BE,* 032 373 27 42,,
Kossewski Leszek,Brachmattstrasse 11b,Brachmattstrasse11b,2555,Brügg BE,032 373 48 39,,
Krähenbühl Heinz,Rainpark 16,Rainpark16,2555,Brügg BE,* 032 373 31 30,,
Krähenbühl Margrith (-Kläy),Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,032 365 07 32,,
Krähenbühl Ulrich,Kreuzgasse 5,Kreuzgasse5,2555,Brügg BE,* 032 322 78 21,,
Krättli Erika,Neubrückstrasse 19,Neubrückstrasse19,2555,Brügg BE,032 373 46 04,,
Kräuchi Ingrid (-Rawyler),Orpundstrasse 23,Orpundstrasse23,2555,Brügg BE,032 373 26 48,,
Krebs Urech Margrit,Rainpark 16,Rainpark16,2555,Brügg BE,032 373 24 32,,
Krieg Walter (-Roth),Orpundstrasse 30A,Orpundstrasse30A,2555,Brügg BE,* 032 373 16 65,,
Kron Urs und Suzanne,Bielstrasse 36,Bielstrasse36,2555,Brügg BE,* 032 373 24 57,,
Krummacher Lia Anna-Christine,Bielstrasse 30,Bielstrasse30,2555,Brügg BE,079 397 48 30,,
Küffer Beat,Dahlienweg 3,Dahlienweg3,2555,Brügg BE,* 032 373 37 25,,
Küffer Hans,Orpundstrasse 21,Orpundstrasse21,2555,Brügg BE,* 032 373 35 87,,
Küffer Sandra,Rosenweg 10,Rosenweg10,2555,Brügg BE,* 032 372 21 81,,
Kundert Margrith,Mattenstrasse 18,Mattenstrasse18,2555,Brügg BE,032 372 19 11,,
Kündig Charlotte (-Osterwalder),Erlenstrasse 4,Erlenstrasse4,2555,Brügg BE,* 032 373 24 20,,
Küng Fredi,Guinandstrasse 2,Guinandstrasse2,2555,Brügg BE,032 373 21 39,,
Kunz Anton (-Berger),Mattenstrasse 4,Mattenstrasse4,2555,Brügg BE,* 032 373 50 33,,
Kunz Günter,Bielstrasse 80A,Bielstrasse80A,2555,Brügg BE,* 032 342 01 41,,
Kunz Hans,Brachmattstrasse 2,Brachmattstrasse2,2555,Brügg BE,032 372 72 84,,
Künzler Barbara,Friedhofweg 23,Friedhofweg23,2555,Brügg BE,* 078 716 55 76,,
Küpfer Fritz,Bielstrasse 79,Bielstrasse79,2555,Brügg BE,032 373 41 92,,
