titel;author;konferenz;veranstaltungstitel;zeitschrift;datum;Tweet Datum;Tweet
Evaluating the Role of Trust in Adoption: A Conceptual Replication in the Context of Open Source Systems.;Silic, Mario;null;null;AIS Transactions on Replication Research;01. Mär 18;2020-04-02 18:46:37+00:00;@nettwerkerin @DennisSchaeffer Same here (Ich hatte anfangs gedacht Lockdown = Slowdown + Fokus. Gleichung geht gar nicht auf.
Die wissenschaftliche Sicht: Der rechte Umgang mit Stakeholdern.;Back, Andrea;Oldenbourg;null;null;2005;2020-04-02 09:55:35+00:00;"Vernetztes Denken gefragt. ""Alles hängt mit allem zusammen"" (A. von Humboldt zugeschrieben): FAZ 26.3. $Artikel mit… https://t.co/P9QEigoBNj"
Wirtschaftlichkeitsanalysen im IV-Bereich.;Back, Andrea;null;Blockwoche Informationsmanagement Intensivstudium KMU;null;02. Jun 98;2020-03-31 16:16:01+00:00;"@beffa Danke für die Warnung. Der Titel des Beitrags wird dem Inhalt nicht ""integer"" gerecht. Gute Denkübung, gerad… https://t.co/qg1SVqnBl8"
How Can We Design Products, Services, and Software That Reflect the Needs of Our Stakeholders? : Towards a Canvas for Successful Requirements Engineering.;Ruf, Christian & Back, Andrea;Springer International Publishing;10th International Conference, DESRIST 2015;Lecture Notes in Computer Science;22. Mai 15;2020-03-31 16:09:53+00:00;@lress Danke Lore, schau ich mir an. Bin mir bewusst, dass (sein) Expertentum zu hinterfragen. Ist aber gute Denküb… https://t.co/QkMvnweUT3
Knowledge Networks und Knowledge Management Technologien.;Back, Andrea;null;Gastvortrag an der Universität Bamberg;null;27. Jun 00;2020-03-31 15:11:45+00:00;Mal wieder auf Addendum geschaut. Die zeitliche Abfolge der Themen in den nun 35+ Artikeln des Dossiers zu sehen di… https://t.co/vArzFs8B66
Atos - Towards Zero Email Company.;Silic, Mario;null;null;null;28. Mai 15;2020-03-31 11:17:01+00:00;"""Lasst uns mit Wissen und Wahrheit wappnen"": https://t.co/ncK2XySTio. Offener Brief, 30.3. an Bundeskanzlerin Merke… https://t.co/KYIuXZjtxS"
Knowledge Management und Knowledge Portale: Konzepte und Trends.;Back, Andrea;null;AGI IT Services AG, ERFA Workshop;null;11. Apr 00;2020-03-31 09:13:08+00:00;Unerwartete Verhaltensauffälligkeit durch Working from Home: Trage Schmuck und Parfüms, die ich sonst fürs Büro bzw… https://t.co/laUggK5NUW
Knowledge Management in Challenging Settings - A Case of Military Aircraft.;Mayrhofer, David;null;null;Journal of Universal Computer Science;29. Jun 05;2020-03-29 18:26:58+00:00;Danke für Beitrags-Appell zur #SoSchuetzenwiruns Kampagne. Ist essentiell! Ich warte damit bis nächste Phase, wo da… https://t.co/Jn7oMDnlaz
Zum Verhältnis von eLearning und Wissensmanagement im Unternehmen.;Back, Andrea;Ges. für Informatik;32. Jahrestagung der Gesellschaft für Informatik e.v. (GI);null;30. Sep 02;2020-03-29 12:26:11+00:00;"Diskursthemen finden Weg in Öffentlichkeit. Kontrollierte Infizierung; Verantwortung/Solidarität Hochrisikogruppe f… https://t.co/LJAR2F2u5G"
Knowledge Networks - A Tools Perspective.;Raimann, Joerg;null;null;null;01. Jan 00;2020-03-27 22:29:36+00:00;Für Datenqualitäts-Evangelists: Was sagen die WHO Fallzahlen über die tatsächliche Entwicklung? COVID-19 Dashboard… https://t.co/uSRRYTNsoO
Das St. Galler Enterprise-2.0-Methodenset - Ein Ansatz zum organisatorischen Wandel.;Friedel, Dominik & Back, Andrea;Oldenbourg;null;null;2012;2020-03-20 16:01:52+00:00;Was zum Weitersagen (insb CH): COVID-19 Präventationsmassnahmen schulen mit freiem E-Learning der #swissteach AG in… https://t.co/hgv2YPO0Vs
e-Learning-Projekte: Lernen via e-Training und e-Collaboration.;Back, Andrea;null;Leitung und Einführung Weiterbildungsseminar HSG;null;25. Sep 01;2020-03-20 15:48:44+00:00;Liest man viel: Quarantäne mit Zeit für Slow-Cooking und gutem Essen verbringen, so auch in meiner März-Kolumne:… https://t.co/ru5vkNVxse
Open Grid - Open Mind.;"Bieger, Thomas;  Fujimoto, Sou;  Böhm, Andreas;  Meckel, Miriam;  Borth, Damian;  Gasser, Urs;  Lohmann, Melinda Florina;  Bruch, Heike;  Berenbold, Sandra;  Gassmann, Oliver;  Josef, Barbara; Back, Andrea;  Uebernickel, Falk;  Kohler, Marc;  Hehn, Jennifer;  Leimeister, Jan Marco;  Söllner, Matthias;  Brenner, Walter;  Gutzwiller, Thomas;  Frank, Markus;  Schürer, Wolfgang & Kissinger, Henry""; ";null;null;null;2018;2020-03-20 15:38:32+00:00;#LearningInsights im Gespräch mit dem Pädagogen Peter Baumgartner, Linz, Autor des Beitrags: Bildung kann man nicht… https://t.co/iliptBDhHm
Elektronische Märkte.;Schmid, Beat;Springer;null;null;2004;2020-03-20 15:38:32+00:00;#LearningInsights im Gespräch mit dem Pädagogen Peter Baumgartner, Linz, Autor des Beitrags: Bildung kann man nicht… https://t.co/iliptBDhHm
Mobile Business : Management von mobiler IT in Unternehmen.;Sammer, Thomas;null;null;null;2014;2020-03-20 15:10:51+00:00;"Gestaltungsprinzip ""Play"" für Kreatives Lernen. Meine Interpretation - insb. Just-do-it-Mentalität -  im Gespräch m… https://t.co/SO9wLLOx4z"
Wearable Business Solutions – Herleitung und Auswirkung auf die Value Creation durch Unternehmen im Jahr 2021 mittels Szenariotechnik und Delphimethode.;Heusler, Noemi & Back, Andrea;Institut für Wirtschaftsinformatik;null;null;Aug 16;2020-03-20 11:13:00+00:00;Wann hört das auf, mit dem exponentiellen Wachstum #Covid_19 ? Minutenkurze Mathe-Lektion, Video ab Min 3:30. Gut z… https://t.co/eMxLVoTm3Z
How Knowledge Networks in practice look like: Findings from an international survey.;Enkel, Ellen & Wicki, Yvonne;null;null;null;2002;2020-03-20 10:08:15+00:00;Geduldige, aber eigentlich bittere, Erfahrung an der ETH: Mut und Einsatz für innovativen - UND lernwirksamerem - U… https://t.co/mRSeWp5VOo
Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry.;Back, Andrea & Haager, Christopher;University of Maribor;"24th Bled eConference ""eFuture Creating Solutions for the Individual, Organisations and Society""";null;12. Jun 11;2020-03-11 15:01:45+00:00;Besser zu Hause arbeiten - nicht C-swegen, sondern mein Büro gerade mitten im Baustellenbetrieb, fühlt sich auch ri… https://t.co/m5tuOqHbRf
"Interview mit Mark C. Turrell: ""Groupware should be widely deployed"".";Back, Andrea;null;null;Informatik/Informatique;01. Jan 95;2020-03-10 20:01:01+00:00;"RT @vetter_anna: Weil ich hier ständig lese ""Jetzt heißts an die Menschen denken, nicht an die Wirtschaft!"":
""Die Wirtschaft"", das ist dein…"
Technology enabled Management Education - Die Lernumgebung MBE Genius im Bereich Executive Study an der Universität St. Gallen.;Back, Andrea;null;null;iomanagement;01. Jan 98;2020-03-10 15:30:58+00:00;Aufgezeichnetes HSG-Webinar: Corona-Krise CH-rechtliche Auswirkungen. Antworten auf viele Vertrags- und Arbeitsrech… https://t.co/jBMwiZGwFc
Integrated Performance Measurement System for Knowledge Networks for Growth.;Enkel, Ellen;null;null;null;2007;2020-03-10 11:36:50+00:00;Wer Netflix-Episoden gerne in Serie schaut, kann das auch auf #LearningInsights tun. Neu im letzten Monat - mehrere… https://t.co/Abk2jN9q2e
A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies.;Heidecke, Florian & Back, Andrea;IGI Global;null;International Journal of e-Collaboration;01. Jan 09;2020-03-09 13:34:39+00:00;"Da ich neulich in unserer Lehrveranstaltung das Modul ""Data Visualization &amp; Data Storytelling"" hatte: Hier Anschauu… https://t.co/wMTwIEfYdq"
Nutzerpräferenzen für Funktionen mobiler Lernanwendungen in der betrieblichen Bildung.;Back, Andrea & Henestrosa, Alexandra;Studienverl.;null;Zeitschrift für E-Learning : Lernkultur und Bildungstechnologie;2012;2020-03-07 20:08:16+00:00;@thescopecom schreibt über ihre Kommunikation: ... schrieben wir vergangene Woche jede Webseite/Blogpost von Du wie… https://t.co/v9mhxAFMk5
Lern- und Wissensportale in Corporate Universities.;Back, Andrea & Bendel, Oliver;Huber;null;null;2002;2020-03-05 11:06:53+00:00;"Heute im @Handelszeitung Special ""Digital Innovation"" ein Kurzinterview zu unserer Innovation-Culture-Forschung - S… https://t.co/UNweRumXPg"
Knowledge Management und E-Learning.;Back, Andrea;null;"Seminar ""St. Galler Wissensmanagement""";null;14. Nov 00;2020-02-29 21:59:54+00:00;RT @BBCHoseinSharif: Do not underestimate Iranians’ sense of humour... even in the face of #COVID2019 amazing work by Iranian comedian Dani…
Putting Knowledge Networks into Action: Methodology, Development, Maintenance.;;Springer;null;null;2005;2020-02-27 09:56:45+00:00;Unsere Top-Jury https://t.co/5p5T4G73v2 freut sich schon auf die weiteren Mobile und IoT-Einreichungen! https://t.co/IyEWtInxPE
Basis-Workshop Wissensmanagement (WM).;Back, Andrea;null;Wissensmanagement;null;05. Okt 01;2020-02-25 21:23:57+00:00;@lress Danke - wirklich guter Artikel. Kein Grund zur Hysterie - aber doch beunruhigend, dass Menschen mittleren Al… https://t.co/3KF2tJcW9x
Lernen in der Wissensgesellschaft: Paradigmenwechsel für die betriebliche Bildung.;Back, Andrea;null;1. Fachtagung zum Thema die lernende Gesellschaft oder Wissensmanagement im 21. Jahrhundert;null;20. Okt 99;2020-02-25 21:21:14+00:00;"RT @lress: Warum gefährlich?
- unbekannte Risikogruppen
- noch keine gezielt wirkende Medikamente
- fehlende Herdenimmunität
lohnt sich zu…"
Produktivität von Wissensarbeit 2.0: Traumhaft oder traumatisch.;Back, Andrea;null;LEARNTEC;null;03. Feb 09;2020-02-21 12:07:47+00:00;Was ist mit Resniks 4 P’s - Creativity through Projects, Passion, Peers, and Play - gemeint? #LearningInsights Ich… https://t.co/o21RUUKPOV
"Web-based Open Innovation - ""What‘s Your Strategy for Creating Knowledge, Products, and Services with Online Communities?"".";Back, Andrea;null;4. SWISS KM Tool Day;null;19. Mär 09;2020-02-21 11:26:25+00:00;@BasantaEPThapa Ja, mit dem Link darf man bearbeiten (sollte ohne Anmeldung funktionieren): https://t.co/LQELwNSKhn
Organizational Culture Impact on Acceptance and Use of Unified Communications & Collaboration Technology in Organizations.;Silic, Mario & Back, Andrea;Moderna Organizacija;"26th Bled eConference ""eInnovations: challenges and impacts for individuals, organizations and society""";null;09. Jun 13;2020-02-21 11:06:14+00:00;Digitalisierung auf Deutsch und in Wortschönheiten: Nach Jan-Pause wieder mal eine Kolumne geschrieben:… https://t.co/D2TqkTBUyb
Elektronische Märkte.;"Der Begriff des Elektronischen Marktes ist in der Fachliteratur bereits etabliert. In den letzten Jahren sind dazu verschiedene Arbeiten veröffentlicht worden, z.B. [MaYaBe87], [MaYaBe89], [Bako91b], [Freu91]. Ein einheitlicher Sprachgebrauch liegt jedoch noch nicht vor. Folgende Begriffe werden mit ""Elektronischem Markt"" (Electronic Market) im wesentlichen synonym verwendet: Elektronischer Marktplatz (Electronic Marketplace, z.B. [Bako91b]), Elektronische Beschaffung (Electronic Purchasing [Hubm89], [Butl90]), Computerisierter oder seltener: Automatisierter Handel (Computrized / Automated Trading [Domo90], [Domo92]) bez. Elektronischer Handel (Electronic Trading / Trade, z.B. [Freu89], [Kuul90]). Gewisse Formen Elektronischer Märkte werden auch mit Electronic Marketing bezeichnet (vgl. [Butl90]), was insofern unglücklich ist, als dieser Begriff schon in der eigentlichen Marketingliteratur verwendet wird, [HeSc92]. Im Gegenzug verwenden einige Autoren für Systeme der Datenerhebung am Verkaufspunkt ebenfalls den Begriff Elektronischer Marktplatz [Cord91]. Der Sprachgebrauch ist uneinheitlich. Es ist deshalb angezeigt, sich zunächst klarzumachen, welche Funktionen Märkte in unserem arbeitsteiligen Produktionssystem haben.";Springer;null;null;2004;2020-02-08 12:17:48+00:00;Kundenerwartungen ändern schnell: Eben im @thescopecom NL gelesen: «Eine Website ohne Live-Chat ist wie ein Geschäf… https://t.co/Z6YLpisGri
Implementierung und Nutzung der Prozesskostenrechnung.;Back, Andrea;Wiesbaden;null;null;1995;2020-02-03 16:24:55+00:00;Ist das geläufiger Fachjargon beim Tanz? In der Stückeinführung zum Ballettabend spricht der Dramaturg von den Tänz… https://t.co/7Rhm6TQCDd
Mobile Learning App - Wie hätten Sie denn gerne Ihren intelligenten Lerncoach?;Back, Andrea & Henestrosa, Alexandra;null;Swiss eLearning Conference;null;18. Apr 12;2020-02-03 16:24:55+00:00;Ist das geläufiger Fachjargon beim Tanz? In der Stückeinführung zum Ballettabend spricht der Dramaturg von den Tänz… https://t.co/7Rhm6TQCDd
Business 2.0 - Die Triebfedern des partizipativen Web für Business-Innovation.;Back, Andrea;null;20 Jahre IWI - IWI Update;null;18. Sep 09;2020-02-03 08:09:50+00:00;Zu Kompetenzentwicklung in Unternehmen über formale Formate hinaus: #LearningInsights im Gespräch mit der Leiterin… https://t.co/I7ICZyzoqH
Creating a Competency Model for Swissair and Sabena.;Keller, Miriam;null;null;null;07. Jan 02;2020-02-02 09:04:58+00:00;@sms2sms @OpenDataZH @statistik_zh @OpenDataBS @bfh_wirtschaft @BeatEstermann @CH_Bundesarchiv Lieber Stefan, ja -… https://t.co/hjoEzmVR4x
Vom Kursprojekt zum Reengineering der Bildungsprozesse.;Back, Andrea;Bertelsmann;null;null;2004;2020-02-02 09:04:02+00:00;RT @sms2sms: @OpenDataZH @statistik_zh @OpenDataBS @bfh_wirtschaft @BeatEstermann @CH_Bundesarchiv gibts den 5er als pdf? würz gerne bei mi…
Vom Wissensmanagement zum Wissensnetzwerk.;Back, Andrea;null;"Kongress ""lernlandschaften""";null;01. Okt 03;2020-02-02 09:01:40+00:00;Von alten Gewohnheiten + Werten verabschieden! Die Art der Ausbildung im allseits geschätzten dualen Berufsausbildu… https://t.co/KRQOLKmI9p
The dark side of social networking sites : Understanding phishing risks.;Silic, Mario & Back, Andrea;Elsevier;null;Computers in Human Behavior;1 July 2016;2020-01-28 18:32:16+00:00;School@learntec Forum hat sich gelohnt. @smartfeld: Wenn uns jemand mit der Digital Entrepreneurship Werkstatt buch… https://t.co/ru7xXCKNfb
Digital Transformation Compass – A Guide to Management Methods and Tools in Digital Transformation Initiatives (Proposal of Future Work).;Back, Andrea & Schacker, Maximilian;null;Organizing in the Era of Digital Technology;null;13. Jun 19;2020-01-28 17:02:12+00:00;"Thanks Ajit, expert in AI/ML &amp; IoT as well as in mobile solutions in our award jury: for letting your community kno… https://t.co/ovtezRQ7gP"
Social Software Use-Cases in verschiedenen Geschäftsfunktionen bei Swiss Re.;Back, Andrea;null;null;null;2012;2020-01-28 16:40:44+00:00;Your business best practice solution - either (Smart) IoT, or mobile app - can also be submitted for the award jury… https://t.co/9s3cAR2LcJ
Fostering New Ventures: Organisational conditions for New Ventures in Unilever.;van Wegen, B.;null;null;null;2001;2020-01-28 08:46:19+00:00;Perfektes Schmuddelwetter, um den Tag in Messehallen zu verbringen. Wir mit #smartfeld Digital Entrepreneurship Wer… https://t.co/52j7rMfi4P
Das mobile Web 2.0 im Unternehmen.;Sammer, Thomas & Walter, Thomas;Oldenbourg;null;null;2012;2020-01-23 20:12:34+00:00;Am WEF vorgestellt. OECD Studie zu Berufswünschen von Teenagern: Digitalsierung darin nicht zu erkennen. FAZ titelt… https://t.co/H4kQTfh7bG
Schöne neue Arbeitswelt: Die Rolle von E-Tools für Ihre Informations- und Wissensarbeiter.;Back, Andrea;null;Keynote an der eHealthCare.ch04 Konferenz;null;12. Okt 04;2020-01-20 10:55:09+00:00;Das auszufüllen ist schon durchs Nachdenken darüber ein Gewinn. Es hat ein Freitextfeld in der wirklich kurzen Umfr… https://t.co/B3rdv61L7W
Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?;Lötscher, Julia & Back, Andrea;Springer Fachmedien;null;Wirtschaftsinformatik & Management;06. Mai 20;2020-01-20 10:12:24+00:00;Als Führungskraft den Mitarbeitenden Jobcrafting ermöglichen - ist das nicht die beste Weiterbildung? (Was man neu… https://t.co/SYykLukFUf
Coworking aus Unternehmenssicht – Out of Office, into the Flow?;Josef, Barbara & Back, Andrea;Springer Fachmedien Wiesbaden GmbH;null;Arbeiten 4.0;12 July 2019;2020-01-20 10:10:04+00:00;RT @hrtoday_ch: Bloggerin @barbarajosef über Job Crafting und wie es das (Berufs-)Leben verändern kann: https://t.co/T2DaxuHwbE #HRTodayBlo…
Coworking aus Unternehmenssicht – Serendipity-Biotop oder Fluchtort?;Josef, Barbara & Back, Andrea;IWI-HSG, Universität St.Gallen;null;null;Dez 16;2020-01-17 09:00:15+00:00;Ortsbedingt fällt die Session-Intro-Folie blumig aus: Doktorand Arne Grüttner präsentierte auf einer Intl. Informat… https://t.co/BWkfBsbkj7
Evaluation Report: Review of the Knowledge Management Activities in the Unilever Culinary Category.;Back, Andrea & von Krogh, G.;null;null;null;01. Aug 98;2020-01-16 11:56:44+00:00;Warum in die Strandferne schweifen? Die Sonne scheint so nah! #myaletschmoment #daycatcher #inlovewithswitzerland.… https://t.co/N5n3aLo3oT
Developmental aspects and supportive factors in Knowledge Networks.;Köhne, M.;null;null;null;2006;2020-01-14 21:35:13+00:00;"Social Media befeuern zwar Fake-News, sie können aber auch Real Truths ans Tageslicht bringen - Crowdsourcing &amp; Ope… https://t.co/nyZAmh9WWl"
Competing with Intellectual Capital: Theoretical Background.;Back, Andrea;null;null;null;20. Mär 00;2020-01-09 21:21:03+00:00;Bei uns heute im Posteingang: Manuell - bestimmt liebevoll- frankiertes Paket. Ein Hingucker. https://t.co/WPnHdS93fv
Management von digitalen Innovationen: Hat das Innovationstrichtermodell ausgedient?;Back, Andrea;null;null;Wirtschaftsinformatik & Management : WuM;19. Apr 18;2020-01-09 09:52:19+00:00;Dr. V. Zimmermann im Interview #LearningInsights (Min 5:00): 80% der (betrieblichen) Weiterbildung wird in Microcou… https://t.co/DvmKLlKFei
Design Requirements for Collaboration Processes to Increase Customer Trust in Mobile Banking Platforms.;Ruf, Christian & Back, Andrea;Moderna Organizacija;"The 27th Bled eConference ""eEcosystems""";null;01. Jun 14;2020-01-01 21:42:29+00:00;3 UNBEDINGT hörenswerte Minuten https://t.co/kDK2Yz6Rpb ab 46:50. #davidkriesel Plädoyer für engagierte Analysen im… https://t.co/SyETDKGdgZ
Entwicklungen im Markt und in Anwendungsfeldern von Groupware.;Back, Andrea;null;null;Informatik/Informatique;01. Jan 95;2020-01-01 16:00:39+00:00;Glasklare - besser: eisklare - Windrichtung. Wildpark StG im Nebel https://t.co/5Y5v4mXKIB
