web-scraper-order;Publikation (Autoren, Jahr, Titel, Journal/Konferenz)
1647018432-4346;"Back, Andrea:
	Progettare il proprio lavoro attraverso una formazione efficace on-line.
	Professionisti della Salute educare al miglioramento e alla ricerca.
	Trento, Italien,
	28 January 2005."
1647018432-4381;"Back, Andrea:
	Zum Verhältnis von eLearning und Wissensmanagement in Unternehmen.
	GI-Jahrestagung.
	Dortmund,
	1 October 2002."
1647018432-4115;"Back, Andrea:
	Web-DNA-Analyse von (((rebell.tv))) - Publizieren und Kommunizieren in innovativer Genese.
    	In  
    	Piazzi, Tina & Seydel, Stefan M. (ed.): 
    	Die Form der Unruhe; Band 1 : Das Statement. 
	Hamburg :
	Junius,
	2009,
	S. 28-31."
1647018432-4426;"Back, Andrea:
	Strategisches Management & Informations- und Kommunikationstechnologien (IKT) insbesondere Knowledge Management.
	MSM Seminar.
	Zürich,
	12 May 1998."
1647018432-4162;"Heusler, Noemi & Back, Andrea:
	Wearable Business Solutions – Herleitung und Auswirkung auf die Value Creation durch Unternehmen im Jahr 2021 mittels Szenariotechnik und Delphimethode.
	,
	2016,
	01/2016."
1647018432-4352;"Back, Andrea:
	E-Learning quo vadis? Innovationsrichtungen veranschaulicht am St. Galler E-Learning Referenzmodell.
	Media Design Center der TU Dresden.
	Dresden,
	13 May 2004."
1647018432-4100;"Back, Andrea:
	Enterprise 2.0 - Digitale Transformation durch soziale Technologien.
    	In  
    	Hoffmann, Christian Pieter; Lennerts, Silke; Schmitz, Christian; Stölzle, Wolfgang & Uebernickel, Falk (ed.): 
    	Business Innovation: Das St. Galler Modell. 
	Wiesbaden :
	Springer Fachmedien Wiesbaden,
	2016,
	S. 123-138."
1647018432-4385;"Back, Andrea:
	Podiumsdiskussion ""Deutschland - Entwicklerstandort oder Entwicklungsland?"", geleitet von Dr. H.-H. Kappel; weitere Mitwirkende Prof. Dr. H.-L. Grob, Prof. Dr. M. Zitterbart, F. Milius, Armin Hopp.
	Learntec.
	Karlsruhe,
	7 February 2002."
1647018432-3912;"Silic, Mario; Back, Andrea & Silic, Dario
 	(2015)
	Email: from hero to zero - the beginning of the end?
	Journal of Information Technology Teaching Cases,
	5
	(2).
	84-91."
1647018432-4294;"Back, Andrea:
	Twitter - Begegnung mit altbekannten Lernsituationen.
	Learntec 2010.
	Karlsruhe,
	4 February 2010."
1647018432-3971;"Back, Andrea & Seufert, Andreas
 	(2000)
	Wissensstrategien für die Zukunft.
	Controller News,
	
	(Nr. 2).
	46-48."
1647018432-4240;"Sammer, Thomas & Back, Andrea:
	The Race to the Top : Will a 'Bring Your Own Device' (BYOD) Policy Contribute to the Success of the Adidas Group?
	UK :
	The Case Centre,
	2013."
1647018432-3935;"Back, Andrea
 	(2010)
	E-Learning zunächst ganz pragmatisch als Kundenservice.
	Zeitschrift für E-Learning : Lernkultur und Bildungstechnologie,
	5
	(2).
	20-24.
	ISSN 1992-9579"
1647018432-4140;"Back, Andrea:
	E-Learning und Wissensmanagement zusammenführen.
    	In  
    	Hohenstein, Andreas & Wilbers, Karl (ed.): 
    	Handbuch E-Learning: Expertenwissen aus Wissenschaft und Praxis. 
	Köln :
	Dt. Wirtschaftsdienst,
	2002,"
1647018432-4409;"Back, Andrea:
	Knowledge Management und Knowledge Portale: Konzepte und Trends.
	AGI IT Services AG, ERFA Workshop.
	Zürich,
	11 April 2000."
1647018432-3981;"Back, Andrea
 	(1998)
	Universitäre Ausbildung anno 2005.
	Thexis-Sonderheft Management Szenarien 2005,
	Vol. 15
	(2).
	10-11."
1647018432-4120;"Back, Andrea & Heidecke, Florian:
	Produktivität von Wissensarbeitern.
    	In  
    	Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.): 
    	Web 2.0 in der Unternehmenspraxis : Grundlagen, Fallstudien und Trends zum Einsatz von Social Software. 
	München :
	Oldenbourg,
	2008,
	S. 99-112."
1647018432-4400;"Back, Andrea:
	Wissensnetzwerke: Ihr Beitrag zum persönlichen und Unternehmenswachstum.
	Siemens KAuDz.
	Erlangen,
	1 March 2001."
1647018432-4081;"Bieger, Thomas; Achleitner, Paul; Landolf, Urs; Serratore, Luca; Breitenstein, Yannik; Dilger, Bernadette; Angélil, Marc; Fujimoto, Sou; Böhm, Andreas; Meckel, Miriam; Borth, Damian; Gasser, Urs; Lohmann, Melinda Florina; Bruch, Heike; Berenbold, Sandra; Gassmann, Oliver; Josef, Barbara; Back, Andrea; Uebernickel, Falk; Kohler, Marc; Hehn, Jennifer; Leimeister, Jan Marco; Söllner, Matthias; Brenner, Walter; Gutzwiller, Thomas; Frank, Markus; Schürer, Wolfgang & Kissinger, Henry
    	Böhm, Andreas (ed.) 
    	: 
	Open Grid - Open Mind.
	1. Auflage.
	St. Gallen :
	
	2018,"
1647018432-4348;"Back, Andrea:
	Schöne neue Arbeitswelt: Die Rolle von E-Tools für Ihre Informations- und Wissensarbeiter.
	Keynote an der eHealthCare.ch04 Konferenz.
	Zürich,
	12 October 2004."
1647018432-4371;"Back, Andrea:
	E-Learning strategisch verankern.
	IOP-Fachtagung.
	Bern,
	4 September 2003."
1647018432-3982;"Back, Andrea; Seufert, Sabine & Kramhöller, S.
 	(1998)
	Technology enabled Management Education - Die Lernum­gebung MBE Genius im Bereich Executive Study an der Universität St. Gallen.
	IO Management,
	21
	(3).
	36-42.
	ISSN 0019-9281"
1647018432-4420;"Back, Andrea:
	Einführung und Leitung 1. Block 2. Woche: ""Applikationen"", Groupware und Knowledge Management.
	Executive Study Program Master of Business Engineering, Universität St. Gallen.
	St. Gallen,
	5 January 1999."
1647018432-4358;"Back, Andrea:
	Corporate eLearning and Knowledge Management: Will convergence bridge the gaps?
	LoD Meeting.
	Zürich,
	16 February 2004."
1647018432-4272;"Back, Andrea:
	Von einer, die auszog, in der Cloud zu arbeiten: Ein Erfahrungsbericht ….
	ASUT Seminar.
	Bern,
	9 June 2011."
1647018432-4082;"Sammer, Thomas; Back, Andrea & Walter, Thomas
    	 
    	: 
	Mobile Business : Management von mobiler IT in Unternehmen.
	
	Zürich :
	buch & netz,
	2014,
	
	- ISBN 978-3-03805-029-2."
1647018432-4365;"Back, Andrea:
	Der rechte Umgang mit Stakeholdern.
	SCIL Congress.
	St. Gallen,
	8 October 2003."
1647018432-3910;"Silic, Mario & Back, Andrea
 	(2016)
	The Influence of Risk Factors in Decision-Making Process for Open Source Software Adoption.
	International Journal of Information Technology and Decision Making,
	15
	(1).
	151-185.
	ISSN 0219-6220"
1647018432-4354;"Back, Andrea:
	Implementierung von Wissensmanagement-Systemen und -Netzwerken.
	Seminar an der Akademie für öffentliche Verwaltung des Freistaates Sachsen.
	Dresden,
	12 May 2004."
1647018432-4296;"Back, Andrea:
	Mit Medienkompetenz zum Studierendenerlebnis.
	Campus Innovation.
	Hamburg,
	26 November 2009."
1647018432-4154;"Österle, Hubert & Back, Andrea:
	Zum Verhältnis von informationstechnologischer und gesellschaftlicher Entwicklung: Bildung für Informationstechnik - Informationstechnik für Bildung.
    	In  
    	Blandow, D. & Theuerkauf, W.E. (ed.): 
    	Strategien und Paradigmenwechsel zur Technischen Bildung: Report der Tagung ""Technische Bildung"" Braunschweig 18. bis 20. Oktober 1996. 
	Hildesheim :
	Franzbecker,
	1997,
	S. 41-58."
1647018432-4415;"Back, Andrea:
	Trend-Landkarte: Unternehmen im Informationszeitalter, Groupware-Tutorial1.
	Blockwoche Informationsmanagement Intensivstudium KMU.
	St. Gallen,
	14 September 1999."
1647018432-4326;"Back, Andrea:
	Strategy Map und Scorecard für E-Learning Initiativen.
	Effektivität und ROI in der betrieblichen Weiterbildung.
	Thalwil,
	20 September 2007."
1647018432-3963;"Back, Andrea
 	(2002)
	E-HR - Strategic Upgrade.
	Learntec New,
	
	(Nr. 1).
	10-11."
1647018432-3956;"Back, Andrea
 	(2003)
	Im virtuellen Klassenraum interaktiv arbeiten.
	bulletin,
	
	(4).
	37-39."
1647018432-4176;"Leithner, Barbara & Back, Andrea:
	Beiträge der Balanced Scorecard für ein nachhaltiges E-Learning im Unternehmen.
	Arbeitsberichte des Learning Center der Universität St. Gallen,
	2004,
	4/2004."
1647018432-4117;"Back, Andrea:
	E-Learning im Unternehmen.
    	In  
    	Kurbel, Karl; Gronau, Norbert; Becker, Joerg; Sinz, Elmar & Suhl, Leena (ed.): 
    	Enzyklopädie der Wirtschaftsinformatik : Online-Lexikon. 
	München :
	Oldenbourg,
	2008,
	S. online."
1647018432-4299;"Back, Andrea:
	Stossrichtungen für Kundenbeziehungen in Web-2.0-Kultur.
	7. IT-Anlass Helsana.
	Dübendorf,
	20 November 2009."
1647018432-4285;"Back, Andrea:
	Reifegrad-Modell und Methode zur Beurteilung des Vorbereitungsgrads von Organisationen für die Einführung von Kollaboration 2.0.
	12. KnowTech 2010.
	Bad Homburg,
	15 September 2010."
1647018432-3929;"Back, Andrea & Henestrosa, Alexandra
 	(2012)
	Nutzerpräferenzen für Funktionen mobiler Lernanwendungen in der betrieblichen Bildung.
	Zeitschrift für E-Learning : Lernkultur und Bildungstechnologie,
	7
	(4).
	7-20.
	ISSN 1992-9579"
1647018432-3969;"Back, Andrea; Seufert, Andreas & von Krogh, G.
 	(2000)
	Wissensmanagement - eine Bestandsaufnahme.
	SAP Info,
	
	
	22-25."
1647018432-4136;"Schmid, Beat:
	Elektronische Märkte.
    	In  
    	Österle, Hubert; Back, Andrea; Winter, Robert & Brenner, Walter (ed.): 
    	Business Engineering - Die ersten 15 Jahre. 
	Berlin :
	Springer,
	2004,
	S. 171-201."
1647018432-4380;"Back, Andrea:
	Wissensmanagement und -Tools.
	Blockwoche Informationsmanagement Intensivstudium KMU.
	St. Gallen,
	1 October 2002."
1647018432-4388;"Back, Andrea:
	Interview zu E-Learning im Unternehmen im Learntec-Studio.
	Learntec vom 06.02. bis 08.02.02.
	Karlsruhe,
	6 February 2002."
1647018432-4031;"Fiechter, Daniel; Sammer, Thomas & Back, Andrea:
	Efficient And Ubiquitous Resource Allocation - Can Smartphones Improve Urban Traffic Flow Associated With Numerous Cars Searching For Parking Spaces?
	2013.
	- European Transport Conference 2013.
	- Frankfurt a. M.."
1647018432-3941;"Back, Andrea
 	(2009)
	Disruptiv innovieren in E-Learning und Kommunikation.
	Netzwoche,
	
	(2).
	40."
1647018432-3978;"Back, Andrea; Seufert, Andreas & von Krogh, G.
 	(1998)
	Measuring.
	Thexis-Sonderheft Management Szenarien 2005,
	Vol. 15
	(2).
	154-155."
1647018432-4001;"Marheine, Christian; Pauli, Tobias; Marx, Emanuel; Back, Andrea & Matzner, Martin:
	From Suppliers to Complementors: Motivational Factors for Joining Industrial Internet of Things Platform Ecosystems.
	2021."
1647018432-4370;"Back, Andrea:
	Vorbereitungsgrad von Unternehmen für E-Learning.
	Moderation Fragebogenauswertung via Centra für ""KMU-Wissen: Weiterbildung Online"".
	St. Gallen,
	1 October 2003."
1647018432-4173;"Back, Andrea:
	Ich habe fertig - aus der Sicht der Mertens-Zauberlehrlinge (Laudatio, gehalten an der WISO in Nürnberg am 10. Januar 2006, Emeritierung Prof. Dr. Peter Mertens).
	,
	2006,"
1647018432-4377;"Back, Andrea:
	Skill-Management: Heutiger Erkenntnisstand.
	bbz-Forum ""Skill-Management - Voraussetzung zur Weiterentwicklung des Unternehmens"".
	Berlingen,
	1 October 2002."
1647018432-4133;"Back, Andrea:
	Balanced Learning Scorecard: Den Wert von (E-)Learning-Innovationen für Geschäftsziele kommunizieren.
    	In  
    	Ehlers, Ulf-Daniel & Schenkel, Peter (ed.): 
    	Bildungscontrolling im E-Learning : Erfolgreiche Strategien und Erfahrungen jenseits des ROI. 
	Berlin :
	Springer,
	2005,
	S. 131-140."
1647018432-4423;"Back, Andrea; Seufert, Sabine & Seufert, Andreas:
	Collaborative Learning in Action: Management Education at the University of St. Gallen.
	Lotusphere '98.
	Berlin,
	21 September 1998."
1647018432-4256;"Back, Andrea & Henestrosa, Alexandra:
	Mobile Learning App - Wie hätten Sie denn gerne Ihren intelligenten Lerncoach?
	Swiss eLearning Conference.
	Zürich,
	18 April 2012."
1647018432-4150;"Back, Andrea:
	Lernen im Cyberspace: Die Zukunft der Wissensentwicklung und Bildungsdienstleistung?
    	In  
    	Belz, Christian & Bieger, Thomas (ed.): 
    	Dienstleistungskompetenz und innovative Geschäftsmodelle. 
	St. Gallen :
	THEXIS,
	2000,
	S. 358-374."
1647018432-4301;"Back, Andrea:
	Revolutionäre Trends in der Zusammenarbeit: The wiki way, the twitter way, the open innovation way.
	TA SWISS.
	Thun,
	23 September 2009."
1647018432-4359;"Back, Andrea:
	Lerneffektivität im Licht der Geschäftsziele: HR-Balanced Scorecard.
	Learntec 2004.
	Karlsruhe,
	11 February 2004."
1647018432-4424;"Back, Andrea:
	Potentiale der neuen Medien in der Ausbildung: 7 Thesen.
	2. Veranstaltung des Nachdiplomstudiums Informatik und Telekommunikation NDIT/FPIT.
	St. Gallen,
	20 August 1998."
1647018432-4093;"Seufert, Sabine; Back, Andrea & Häusler, Martin
    	 
    	: 
	E-Learning: Weiterbildung im Internet.
	
	Kilchberg :
	SmartBooks,
	2001,
	
	- ISBN 3-908490-53-7."
1647018432-4188;"Mayrhofer, David & Back, Andrea:
	Workplace E-Collaboration: Theoretical Foundations and Practical Implications.
	Arbeitsberichte des Learning Center der Universität St. Gallen,
	2003,
	1/2003."
1647018432-4122;"Enkel, Ellen; Back, Andrea & Vonkrogh, Georg:
	The Concept of Knowledge Networks for Growth.
    	In  
    	Vonkrogh, Georg; Back, Andrea & Enkel, Ellen (ed.): 
    	Knowledge Networks for Business Growth. 
	Berlin :
	Springer,
	2007,
	S. 1-31."
1647018432-4414;"Back, Andrea:
	Lernen in der Wissensgesellschaft: Paradigmenwechsel für die betriebliche Bildung.
	1. Fachtagung zum Thema die lernende Gesellschaft oder Wissensmanagement im 21. Jahrhundert.
	Zürich-Schlieren,
	20 October 1999."
1647018432-4062;"Zollet, Roman & Back, Andrea:
	Website Usability for Internet Banking.
	2010.
	- 23rd Bled eConference ""eTrust: Implications for the Individual, Enterprises and Society"".
	- Bled, Slovenia."
1647018432-3900;"Silic, Mario; Barlow, Jordan & Back, Andrea
 	(2018)
	Evaluating the Role of Trust in Adoption: A Conceptual Replication in the Context of Open Source Systems.
	AIS Transactions on Replication Research,
	4
	(1).
	1-17.
	ISSN 2473-3458"
1647018432-4245;"Back, Andrea:
	Die Welt wird digital.
    In: DATEV magazin
        
    (2016),
    07/16,
    S. 8-10."
1647018432-4071;"Mayrhofer, David; Back, Andrea; Hubschmid, Roger & Heidecke, Florian:
	Software Tools for E-Collaboration: Evaluating Web-Conferencing Tools.
	2005.
	- 16th Information Resources Management Association Conference (IRMA).
	- San Diego, CA."
1647018432-4016;"Berghaus, Sabine & Back, Andrea:
	Stages in Digital Business Transformation: Results of an Empirical Maturity Study.
	2016.
	- 10th Mediterranean Conference on Information Systems (MCIS 2016).
	- Paphos, Cyprus."
1647018432-3892;"Grüttner, Arne; Braschler, Thomas & Back, Andrea
 	(2020)
	Konfrontiert mit einer Flut von Kooperations­anfragen: So meistern Sportorganisationen die systematische Analyse und Bearbeitung.
	Wirtschaftsinformatik & Management,
	12(5)
	(October).
	342-355."
1647018432-4194;"Rumyantseva, Maria; Enkel, Ellen & Gurgul, Grzegorz:
	Perspectives for our partners. Innovation and the network option.
	KnowledgeSource paper series,
	2002,
	Vol.6.BE HSG/IWI 3/IfB HSG No. 36."
1647018432-3998;"Back, Andrea
 	(1994)
	Prozesskostenrechnung.
	Bilanzbuchhalter,
	Vol. 18
	(6).
	121-123."
1647018432-4192;"Keller, Miriam; Leithner, Barbara; Schnoering, Katharina; Bursian, Olaf; Bendel, Oliver & Back, Andrea:
	Creating a Competency Model for Swissair and Sabena.
	,
	2002,
	BE HSG / IWI3 Nr. 24 (Internal Paper)."
1647018432-4094;"Mertens, Peter & Back, Andrea (ed.) 
    	: 
	Lexikon der Wirtschaftsinformatik.
	
	Berlin u.a. :
	Springer,
	2001,
	
	- ISBN 3-540-42339-7."
1647018432-3920;"Silic, Mario & Back, Andrea
 	(2014)
	Information security: Critical review and future directions for research.
	Information Management & Computer Security,
	22
	(3).
	279-308.
	ISSN 0968-5227"
1647018432-3951;"Back, Andrea & Leithner, Barbara
 	(2006)
	Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen.
	Zeitschrift für Betriebswirtschaft,
	
	(2).
	1-18."
1647018432-4204;"Enkel, Ellen; Gibbert, Michael; Makarevitch, Alexei & Vassiliadis, Stefanos:
	Perspective for our partners: Boundaries of the firm.
	KnowledgeSource paper series,
	2001,
	Vol. 2. BE HSG/IWI 3 IfB No 30."
1647018432-4160;"Josef, Barbara & Back, Andrea:
	Coworking aus Unternehmenssicht – Serendipity-Biotop oder Fluchtort?
	,
	2016,"
1647018432-4165;"Walter, Thomas & Back, Andrea:
	Data Mining and Social Network Analysis of Ideation Contests : A Repeated Measures Design.
	St.Gallen :
	Institute of Information Management, University of St.Gallen,
	2013."
1647018432-4363;"Back, Andrea:
	Die Rolle des CLO.
	CNO-Panel No. 3.
	Bern,
	26 November 2003."
1647018432-4029;"Silic, Mario; Back, Andrea & Ruf, Christian:
	Mobile Contactless Payments Adoption Challenge in the Complex Network Actor Ecosystem.
	2014.
	- The 27th Bled eConference ""eEcosystems"".
	- Bled, Slovenia."
1647018432-4036;"Ruf, Christian & Back, Andrea:
	Adoption of Online Videos in Organizations : A Multi-Case Comparison.
	2013.
	- 26th Bled eConference ""eInnovations: challenges and impacts for individuals, organizations and society"".
	- Bled, Slovenia."
1647018432-3984;"Back, Andrea
 	(1997)
	Der Cyberspace des 21. Jahrhunderts - Unsere virtuelle neue Welt?
	Forum FN: Themen der Zeit,
	
	(54).
	13."
1647018432-4033;"Sammer, Thomas; Brechbühl, Hans & Back, Andrea:
	The New Enterprise Mobility: Seizing the Opportunities and Challenges in Corporate Mobile IT.
	2013.
	- 19th Americas Conference on Information Systems (AMCIS 2013).
	- Chicago, IL."
1647018432-4338;"Back, Andrea:
	HSG Business Engineering Research Program.
	IS Seminar, City University of Hong Kong.
	
	7 March 2006."
1647018432-3989;"Back, Andrea & Seufert, Andreas
 	(1996)
	Teamorientierung im Management - Management Support goes Groupware. 4 Workshop des GI-Arbeitskreises 5.5.2 Management Support Systems (MSS).
	Wirtschaftsinformatik,
	Vol. 38
	(6).
	650-651."
1647018432-4180;"Mayrhofer, David; Back, Andrea & Hubschmid, Roger:
	Web-Conferencing Software Tools: A Comprehensive Market Survey.
	Mayrhofer, David; Back, Andrea; Hubschmid, Roger,
	2004,
	2/2004."
1647018432-4055;"Seidel, Gunter & Back, Andrea:
	Critical Success Factors of Global Enterprise Resource Planning Programmes: An Empirical Model Based on Expert Interviews.
	2011.
	- 19th European Conference on Information Systems (ECIS) 2011.
	- Helsinki, Finland."
1647018432-4321;"Back, Andrea:
	Open Educational Resources in der Web-2.0 Bewegung: Facetten der Freiheit, zu Lehr-/Lernmaterialien beizutragen und diese zu nutzen.
	Swiss Forum for Educational Media (SFEM 2007).
	Bern,
	15 November 2007."
1647018432-4052;"Sammer, Thomas & Back, Andrea:
	Towards Microblogging Success Factors : An Empirical Survey on Twitter Usage of Austrian Universities.
	2011.
	- 6th Mediterranean Conference on Information Systems (MCIS 2011).
	- Limassol, Cyprus."
1647018432-4102;"Back, Andrea:
	Inter-, trans- und multidisziplinär – Eine essayistische Annäherung mit Blick auf die Wirtschaftsinformatik.
    	In  
    	Brenner, Walter & Hess, Thomas (ed.): 
    	Wirtschaftsinformatik in Wissenschaft und Praxis : Festschrift für Hubert Österle. 
	Berlin, Heidelberg :
	Springer Berlin Heidelberg,
	2014,
	S. 3-13."
1647018432-4059;"Back, Andrea:
	Reifegradmodelle im Management von Enterprise 2.0.
	2010.
	- 12. KnowTech 2010.
	- Bad Homburg."
1647018432-4211;"Back, Andrea; Seufert, Andreas; Vassiliadis, Stefanos & von Krogh, Georg:
	Competing with Intellectual Capital: Theoretical Background.
	,
	2000,"
1647018432-4343;"Back, Andrea:
	Lernen am Puls der Zeit gestalten.
	e-Learning Castle-Forum.
	Oensingen,
	1 November 2005."
1647018432-3995;"Back, Andrea & Seufert, Andreas
 	(1995)
	Kanzleiinformationssystem.
	Datenverarbeitung-Steuer-Wirtschaft-Recht,
	Vol. 25
	(4).
	114-118."
1647018432-4252;"Back, Andrea & von Koenigsmarck, Otfried:
	Demos von Anwendungen aus der Praxis und Forschungsergebnissen.
	Knowledge Management Forum - von Semantic Enterprise über Competitive Intelligence bis zu Wissensmanagement.
	St.Gallen,
	11 September 2012."
1647018432-4134;"Back, Andrea & Leithner, Barbara:
	Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen.
    	In  
    	Breitner, Michael H. & Hoppe, Gabriela (ed.): 
    	E-Learning : Einsatzkonzepte und Geschäftsmodelle. 
	Heidelberg :
	Physica-Verlag,
	2005,
	S. 81-99."
1647018432-4223;"Vassiliadis, Stefanos; Gysin, Karl; Seufert, Andreas; Back, Andrea & von Krogh, G.:
	Dealing with Knowledge Assets.
	,
	1999,"
1647018432-4045;"Sammer, Thomas; Lazur, Christian; Walter, Thomas & Back, Andrea:
	Barrieren am Weg zum Mobile Contactless Payment : Eine Marktanalyse und Bestandsaufnahme der Situation in der Schweiz.
	2012.
	- 7. Konferenze Mobile und Ubiquitäre Informationssysteme (MMS).
	- Braunschweig."
1647018432-4316;"Back, Andrea:
	Zeit für kreative Verdrängung des Althergebrachten im betrieblichen E-Learning: Disruptive Innovation.
	Swiss eEducation Forum, info society days 2009.
	Bern,
	2 March 2009."
1647018432-4020;"Silic, Mario & Back, Andrea:
	Identification and Importance of the Technological Risks of Open Source Software in the Enterprise Adoption Context.
	2015.
	- 12th International Conference on Wirtschaftsinformatik (WI 2015).
	- Osnabrück."
1647018432-4049;"Walter, Thomas & Back, Andrea:
	Towards Measuring Crowdsourcing Success: An Empirical Study on Effects of External Factors in Online Idea Contest.
	2011.
	- 6th Mediterranean Conference on Information Systems (MCIS 2011).
	- Limassol, Cyprus."
1647018432-4121;"Hain, Stefanie & Schopp, Bernd:
	Unternehmensinternes Multiblog der Namics AG.
    	In  
    	Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.): 
    	Web 2.0 in der Unternehmenspraxis : Grundlagen, Fallstudien und Trends zum Einsatz von Social Software. 
	München :
	Oldenbourg,
	2008,
	S. 187-198."
1647018432-4418;"Back, Andrea:
	Management Support Systeme im Informationszeitalter.
	Refresher 1/99: Unternehmungsführung in turbulenter Zeit.
	St. Gallen,
	17 March 1999."
1647018432-3924;"Link, Björn & Back, Andrea
 	(2013)
	Systemic Differences between SaaS- and On-Premise-ERP : An Overview of a Qualitative Option Calculation Scheme.
	AIS Transactions on Enterprise Systems,
	4
	(1).
	11-23."
1647018432-4119;"Haentschel-erhart, Irene:
	Podcasting.
    	In  
    	Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.): 
    	Web 2.0 in der Unternehmenspraxis : Grundlagen, Fallstudien und Trends zum Einsatz von Social Software. 
	München :
	Oldenbourg,
	2008,
	S. 51-56."
1647018432-4412;"Back, Andrea:
	Aufbau einer massgeschneiderten IT-Architektur für das Wissensmanagement.
	2. Österreichischer Wissensmanagement-Kongress.
	Wien,
	1 March 2000."
1647018432-3999;"Back, Andrea
 	(1994)
	Umsetzung objektorientierter Konstrukte im internen Rechnungswesen.
	HMD: Praxis der Wirtschaftsinformatik,
	Vol. 31
	(176).
	94-104."
1647018432-3933;"Knuchel, Thomas; Kuntner, Tobias; Pataki, Eva Carolina & Back, Andrea
 	(2011)
	2D-Codes - Technologie und Anwendungsbereiche.
	Wirtschaftsinformatik,
	53
	(1).
	49-52.
	ISSN 0937-6429"
1647018432-3964;"Raimann, Joerg & Back, Andrea
 	(2002)
	Informations- und Kommunikationsdienste für Wissensnetzwerke.
	wisu das wirtschaftsstudium,
	
	(Nr 5/02).
	698-706."
1647018432-4404;"Back, Andrea:
	e-Learning-Projekte: Neue Möglichkeiten durch vernetztes Lernen. Konzepte - Geschäftsmodelle - Erfahrungen.
	Leitung und Einführung Weiterbildungsseminar HSG.
	Zürich,
	28 September 2000."
1647018432-4197;"Back, Andrea & Bursian, Olaf:
	Neue Lerntechnologien (NLT) in Schweizerischen Industrieunternehmen.
	,
	2001,"
1647018432-4089;"Back, Andrea; Vonkrogh, Georg; Seufert, Andreas & Enkel, Ellen (ed.) 
    	: 
	Putting knowledge networks into action : a methodology for developing and maintaining Knowledge Networks.
	
	Berlin :
	Springer,
	2005,
	DOI:10.1007/b138845.
	- ISBN 978-3-540-40574-0."
1647018432-4287;"Back, Andrea:
	Online-Video im E-Learning von Unternehmen - Bedeutung, Fallbeispiele, Didaktik, Produktion sowie Distribution mit Social Media.
	Fachseminar.
	BallyLab, Schönenwerd,
	12 August 2010."
1647018432-4098;"Ruf, Christian; Back, Andrea & Burkhardt, Marc:
	Mobile First auch in Beratungsprozessen des Private Banking? Entwicklung und Validierung einer iPad-Applikation.
    	In  
    	Nissen, Volker; Stelzer, Dirk; Straßburger, Steffen & Fischer, Daniel (ed.): 
    	Multikonferenz Wirtschaftsinformatik (MKWI) 2016. 
	Ilmenau :
	Universitätsverlag Ilmenau,
	2016,
	S. 955-966."
1647018432-4260;"Back, Andrea:
	Alles Technik oder was? Wenn IT-Trends aufs Business treffen.
	netzEvent IT-Markt Report 2012.
	Zürich,
	22 March 2012."
1647018432-3960;"Ammann Schoch, Regina; Back, Andrea; Kunert, Karsten & Tresch, Markus
 	(2003)
	Wissensinitiativen: Überall, aber wo genau?
	io new management,
	
	(Nr. 10).
	30-36."
1647018432-3909;"Silic, Mario & Back, Andrea
 	(2016)
	Factors driving unified communications and collaboration adoption and use in organizations.
	Measuring Business Excellence,
	20
	(1).
	21-40.
	ISSN 1368-3047"
1647018432-4416;"Back, Andrea:
	Kooperatives Lernen im Internet.
	Leitung Weiterbildungsseminar HSG.
	St. Gallen,
	1 September 1999."
1647018432-4114;"Heidecke, Florian & Back, Andrea:
	A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies.
    	In  
    	Kock, Ned (ed.): 
    	E-Collaboration: Concepts, Methodologies, Tools, and Applications. 
	Hershey/New York :
	Information Science Reference,
	2009,
	S. 735-750."
1647018432-4075;"Enkel, Ellen; Back, Andrea & Vonkrogh, Georg:
	Towards a Framework for Knowledge Networks for Growth - Results of an Action Research Study.
	2003.
	- Academy of Management Annual Meeting (AOM) 2003.
	- Seattle, USA."
1647018432-4149;"Back, Andrea:
	Virtual Reality.
    	In  
    	Mertens, Peter & Back, Andrea (ed.): 
    	Lexikon der Wirtschaftsinformatik. 
	Berlin :
	Springer,
	2001,
	S. 492-494."
1647018432-3925;"Silic, Mario & Back, Andrea
 	(2013)
	Factors impacting information governance in the mobile device dual-use context.
	Records Management Journal,
	23
	(2).
	73-89.
	ISSN 0956-5698"
1647018432-4392;"Back, Andrea:
	e-Learning-Projekte: Lernen via e-Training und e-Collaboration.
	Leitung und Einführung Weiterbildungsseminar HSG.
	Zürich,
	25 September 2001."
1647018432-4167;"Seidel, Gunter & Back, Andrea:
	Construction of a Method for Assessing the Likelihood of Burnout of Global ERP Programmes.
	Arbeitsberichte Business 2.0 IWI-HSG,
	2010,
	1/2010."
1647018432-3895;"Marheine, Christian; Gruber, Lukas & Back, Andrea
 	(2019)
	Innovation durch den Einsatz von Enterprise
IoT-Lösungen: Ein Modell zur Bestimmung des
Innovationspotenzials.
	HMD Praxis der Wirtschaftsinformatik,
	56
	(6).
	1126-1143.
	ISSN 1436-3011"
